Date,Open,High,Low,Close,Adj Close,Volume
2008-04-14,71.699997,82.000000,70.650002,80.099998,80.099998,40925700
2008-04-21,80.029999,82.639999,76.930000,80.860001,80.860001,66360800
2008-04-28,80.639999,82.500000,76.400002,77.309998,77.309998,40945900
2008-05-05,77.269997,77.769997,71.559998,72.410004,72.410004,32944500
2008-05-12,73.000000,76.830002,71.779999,76.459999,76.459999,29949800
2008-05-19,79.010002,84.750000,77.430000,78.349998,78.349998,45390000
2008-05-26,78.260002,81.959999,77.970001,81.620003,81.620003,28937000
2008-06-02,81.150002,84.879997,79.260002,80.629997,80.629997,35325900
2008-06-09,81.190002,81.529999,75.010002,79.169998,79.169998,30656300
2008-06-16,78.419998,84.470001,78.410004,81.099998,81.099998,34709600
2008-06-23,81.300003,82.150002,72.620003,74.660004,74.660004,45109800
2008-06-30,75.029999,76.120003,70.519997,72.000000,72.000000,28689200
2008-07-07,72.370003,75.489998,66.739998,68.540001,68.540001,40055200
2008-07-14,69.309998,72.750000,62.990002,69.120003,69.120003,50297700
2008-07-21,69.519997,82.379997,65.879997,78.309998,78.309998,73756200
2008-07-28,77.089996,79.849998,74.050003,75.750000,75.750000,34893600
2008-08-04,75.989998,81.209999,75.010002,80.510002,80.510002,33306400
2008-08-11,80.180000,91.750000,79.779999,86.400002,86.400002,54078800
2008-08-18,86.089996,86.279999,80.980003,85.260002,85.260002,29964000
2008-08-25,84.629997,84.639999,80.500000,80.809998,80.809998,26920700
2008-09-01,83.160004,84.500000,77.080002,79.190002,79.190002,28129000
2008-09-08,82.250000,83.750000,75.099998,78.300003,78.300003,39050800
2008-09-15,76.860001,86.769997,70.080002,81.000000,81.000000,62408000
2008-09-22,81.129997,81.629997,68.080002,70.699997,70.699997,37824400
2008-09-29,68.410004,73.120003,61.320000,67.000000,67.000000,54627600
2008-10-06,64.059998,66.430000,51.049999,56.250000,56.250000,72418600
2008-10-13,58.959999,64.000000,43.389999,50.650002,50.650002,79786500
2008-10-20,52.169998,53.099998,43.310001,48.959999,48.959999,88842700
2008-10-27,49.000000,59.889999,48.430000,57.240002,57.240002,61450500
2008-11-03,56.349998,58.730000,46.299999,49.209999,49.209999,49259700
2008-11-10,49.980000,50.680000,38.480000,41.750000,41.750000,62557700
2008-11-17,39.910000,41.259998,34.680000,37.869999,37.869999,71748700
2008-11-24,38.790001,44.099998,38.700001,42.700001,42.700001,44485400
2008-12-01,42.000000,50.500000,38.820000,48.259998,48.259998,69959300
2008-12-08,49.150002,54.480000,47.360001,51.250000,51.250000,48257700
2008-12-15,50.650002,54.849998,48.150002,51.560001,51.560001,43812700
2008-12-22,51.599998,53.950001,48.470001,51.779999,51.779999,23263200
2008-12-29,51.430000,54.529999,48.560001,54.360001,54.360001,28197800
2009-01-05,55.730000,58.220001,53.029999,55.509998,55.509998,41794600
2009-01-12,54.119999,54.299999,47.630001,51.590000,51.590000,47757600
2009-01-19,50.750000,51.700001,48.250000,50.630001,50.630001,25523300
2009-01-26,50.180000,59.740002,47.720001,58.820000,58.820000,81700400
2009-02-02,58.570000,67.000000,58.130001,66.550003,66.550003,69959700
2009-02-09,66.559998,67.360001,61.709999,63.259998,63.259998,40711900
2009-02-16,61.669998,64.180000,60.520000,63.860001,63.860001,30615500
2009-02-23,64.160004,66.099998,60.939999,64.790001,64.790001,45493100
2009-03-02,63.939999,65.800003,59.820000,61.689999,61.689999,59028500
2009-03-09,62.200001,69.870003,60.150002,68.629997,68.629997,63131100
2009-03-16,68.559998,73.910004,66.680000,69.959999,69.959999,49029000
2009-03-23,71.360001,75.610001,69.839996,70.519997,70.519997,39192400
2009-03-30,70.400002,78.320000,69.750000,78.169998,78.169998,41209500
2009-04-06,77.260002,80.000000,74.570000,79.769997,79.769997,24235400
2009-04-13,79.839996,79.970001,73.510002,78.050003,78.050003,36679200
2009-04-20,78.440002,86.680000,76.830002,84.459999,84.459999,64296600
2009-04-27,83.879997,85.349998,77.849998,78.959999,78.959999,42024300
2009-05-04,80.260002,83.599998,76.309998,77.949997,77.949997,39318700
2009-05-11,76.800003,79.849998,73.309998,73.599998,73.599998,38546800
2009-05-18,73.959999,81.110001,73.099998,75.639999,75.639999,31334200
2009-05-25,75.029999,79.500000,74.550003,77.989998,77.989998,22282000
2009-06-01,78.209999,87.949997,77.489998,87.559998,87.559998,41525800
2009-06-08,86.750000,88.559998,82.010002,84.080002,84.080002,27383500
2009-06-15,82.830002,84.300003,80.639999,82.959999,82.959999,29544000
2009-06-22,82.410004,84.139999,76.250000,83.879997,83.879997,39377000
2009-06-29,83.870003,84.919998,78.510002,79.320000,79.320000,28454900
2009-07-06,78.449997,78.889999,75.410004,77.629997,77.629997,34736600
2009-07-13,78.070000,86.500000,78.010002,85.849998,85.849998,29346300
2009-07-20,86.269997,94.400002,85.500000,86.489998,86.489998,57481500
2009-07-27,86.239998,87.250000,82.599998,85.760002,85.760002,39697200
2009-08-03,86.559998,88.199997,83.019997,85.320000,85.320000,30441300
2009-08-10,85.010002,86.599998,82.449997,83.580002,83.580002,25722100
2009-08-17,81.160004,85.059998,80.250000,85.000000,85.000000,29449300
2009-08-24,85.169998,86.339996,82.570000,82.760002,82.760002,21746400
2009-08-31,81.930000,82.419998,77.510002,78.870003,78.870003,26834000
2009-09-07,79.860001,84.900002,78.870003,84.540001,84.540001,26843800
2009-09-14,83.809998,91.190002,82.790001,90.279999,90.279999,35775300
2009-09-21,89.690002,94.500000,88.480003,90.519997,90.519997,27491400
2009-09-28,91.040001,94.169998,89.580002,89.849998,89.849998,28125600
2009-10-05,90.250000,96.720001,88.269997,95.709999,95.709999,35805600
2009-10-12,96.169998,97.820000,93.070000,95.320000,95.320000,29148700
2009-10-19,95.349998,119.650002,91.699997,118.489998,118.489998,96380500
2009-10-26,119.209999,125.680000,118.209999,118.809998,118.809998,95597100
2009-11-02,118.660004,126.980003,116.250000,126.199997,126.199997,50688800
2009-11-09,127.110001,132.990005,125.589996,132.970001,132.970001,41174600
2009-11-16,132.119995,134.559998,127.410004,129.660004,129.660004,34630600
2009-11-23,131.050003,134.330002,129.880005,131.740005,131.740005,23691600
2009-11-30,132.190002,145.910004,132.160004,137.580002,137.580002,62926000
2009-12-07,138.000000,139.000000,129.820007,134.149994,134.149994,47863000
2009-12-14,132.500000,132.610001,125.650002,128.479996,128.479996,45794900
2009-12-21,130.479996,139.699997,130.190002,138.470001,138.470001,32406000
2009-12-28,139.750000,142.580002,134.520004,134.520004,134.520004,28600700
2010-01-04,136.250000,136.610001,128.800003,133.520004,133.520004,44491300
2010-01-11,132.619995,132.800003,125.750000,127.139999,127.139999,53750300
2010-01-18,126.309998,129.199997,120.760002,121.430000,121.430000,39506800
